Subject,ROI,Condition,TTP_grand,PeakAmp_grand,Baseline,Peak_amp,Peak_time
SUB701,1,Cond1,4,2.0568813182665746,-0.14857348694516986,2.4258249238468235,4
SUB701,1,Cond2,4,2.0568813182665746,-0.2586905813148786,2.2115347839292583,4
SUB701,2,Cond1,4,2.0568813182665746,-0.1694186032934132,2.5944261851297417,4
SUB701,2,Cond2,4,2.0568813182665746,-0.10680640070921976,1.6201634036643033,4
SUB701,3,Cond1,4,2.0568813182665746,-0.1334185935960593,1.3993740681444993,4
SUB701,3,Cond2,4,2.0568813182665746,-0.4124810882708585,1.6327226690850454,4
SUB701,4,Cond1,4,2.0568813182665746,-0.1755020950920246,2.5184741513292415,4
SUB701,4,Cond2,4,2.0568813182665746,-0.00038515507246375167,2.632946601932365,3
SUB701,5,Cond1,4,2.0568813182665746,-0.13451057790697654,1.4377092565891463,4
SUB701,5,Cond2,4,2.0568813182665746,-0.2254436712734454,1.5781389585389913,4
SUB701,6,Cond1,4,2.0568813182665746,0.022144692307692285,1.6761736105336111,3
SUB701,6,Cond2,4,2.0568813182665746,0.22647291891891905,2.2067365045045046,3
SUB701,7,Cond1,4,2.0568813182665746,0.05956524437299033,2.0936940975348333,3
SUB701,7,Cond2,4,2.0568813182665746,-0.24462461904761906,1.5667985714285715,3
SUB702,1,Cond1,3,1.3671628102497586,0.28719407186858326,2.835897621834363,4
SUB702,1,Cond2,3,1.3671628102497586,0.13406884000000024,2.1259295828985496,4
SUB702,2,Cond1,3,1.3671628102497586,0.3669900648259302,3.2979972865146063,4
SUB702,2,Cond2,3,1.3671628102497586,0.12899235737704934,2.1933613642076497,4
SUB702,3,Cond1,3,1.3671628102497586,-0.025686284574468025,1.3509472251773054,3
SUB702,3,Cond2,3,1.3671628102497586,-0.07394687664042006,1.4430426500437445,3
SUB702,4,Cond1,3,1.3671628102497586,0.06223965591397855,1.5878846550179218,3
SUB702,4,Cond2,3,1.3671628102497586,0.13466665683962276,2.1863886838257636,3
SUB702,5,Cond1,3,1.3671628102497586,0.01193413142711065,1.3165496482860037,3
SUB702,5,Cond2,3,1.3671628102497586,-0.04171939911504424,1.1120475244837755,4
SUB702,6,Cond1,3,1.3671628102497586,0.14002979945429742,1.4283763856298315,3
SUB702,6,Cond2,3,1.3671628102497586,0.11753276312419965,1.766633703371746,3
SUB702,7,Cond1,3,1.3671628102497586,0.038080458598726115,2.098452182590234,3
SUB702,7,Cond2,3,1.3671628102497586,-0.044977443768996955,1.4225443804457945,3
SUB703,1,Cond1,3,1.4126856310422446,0.009249085786681193,1.3937697206179769,3
SUB703,1,Cond2,3,1.4126856310422446,0.0009109871657754112,1.205269972549019,3
SUB703,2,Cond1,3,1.4126856310422446,0.1516198621125188,1.1931448362283557,4
SUB703,2,Cond2,3,1.4126856310422446,0.21436937763975156,1.7033873913043476,4
SUB703,3,Cond1,3,1.4126856310422446,0.004354637988826815,0.9008097497206706,3
SUB703,3,Cond2,3,1.4126856310422446,-0.4008458439181912,1.7667452884822379,4
SUB703,4,Cond1,3,1.4126856310422446,0.017442664335664358,1.7220787447552448,3
SUB703,4,Cond2,3,1.4126856310422446,-0.07452509180327871,1.0870398622950825,3
SUB703,5,Cond1,3,1.4126856310422446,-0.1211373546875,1.0115027708333333,3
SUB703,5,Cond2,3,1.4126856310422446,-0.8664070351826804,1.791393968876862,3
SUB703,6,Cond1,3,1.4126856310422446,0.02485058349328215,1.0266295009596929,3
SUB703,6,Cond2,3,1.4126856310422446,-0.12232079113924042,1.1916467932489452,3
SUB703,7,Cond1,3,1.4126856310422446,-0.2249613086419752,1.3399444907407403,3
SUB703,7,Cond2,3,1.4126856310422446,-0.06822695890410957,0.8329292739726027,3
SUB705,1,Cond1,3,2.6216131996141385,0.06517979720279722,2.716504593628593,3
SUB705,1,Cond2,3,2.6216131996141385,0.04342323312883432,2.920884882924336,3
SUB705,2,Cond1,3,2.6216131996141385,-0.047014277566539926,2.3385916354034637,3
SUB705,2,Cond2,3,2.6216131996141385,-0.049143824594852205,2.1015067429297725,3
SUB705,3,Cond1,3,2.6216131996141385,-0.07589798206518888,2.0092399793284614,3
SUB705,3,Cond2,3,2.6216131996141385,-0.09764111508553656,2.0800970316226035,3
SUB705,4,Cond1,3,2.6216131996141385,-0.023762667692307685,2.493256082051282,3
SUB705,4,Cond2,3,2.6216131996141385,-0.1416845144157816,2.0586923039959535,3
SUB705,5,Cond1,3,2.6216131996141385,-0.5083533760869567,2.7628083601449274,3
SUB705,5,Cond2,3,2.6216131996141385,-0.2345436027777778,1.462500462962963,3
SUB705,6,Cond1,3,2.6216131996141385,-0.17975154366197182,5.472197368075116,4
SUB705,6,Cond2,3,2.6216131996141385,-0.48153196666666664,2.2004269981481483,3
SUB705,7,Cond1,3,2.6216131996141385,-0.09357980516431924,5.963472397496092,4
SUB705,7,Cond2,3,2.6216131996141385,-1.1802135,3.7469755000000005,4
SUB709,1,Cond1,4,1.4784510912484343,0.042596754196642744,2.340396743005597,4
SUB709,1,Cond2,4,1.4784510912484343,0.011285800000000014,1.4623491948148148,4
SUB709,2,Cond1,4,1.4784510912484343,-0.006860579868709,2.2041633340627285,4
SUB709,2,Cond2,4,1.4784510912484343,-0.04644483511047256,1.889682912590251,4
SUB709,3,Cond1,4,1.4784510912484343,0.04436143578485181,1.3689619904866444,4
SUB709,3,Cond2,4,1.4784510912484343,0.03145757489540772,2.3328409093678255,4
SUB709,4,Cond1,4,1.4784510912484343,0.037294462482946815,1.8337107307867224,4
SUB709,4,Cond2,4,1.4784510912484343,-0.03598717152368419,1.6030637128770677,4
SUB709,5,Cond1,4,1.4784510912484343,0.057819512380952405,1.1977908565079367,4
SUB709,5,Cond2,4,1.4784510912484343,-0.02995130512461537,1.6177666213639308,4
SUB709,6,Cond1,4,1.4784510912484343,0.036832628838337995,1.1622681909940644,3
SUB709,6,Cond2,4,1.4784510912484343,-0.0366644718019258,1.3894184594222845,3
SUB709,7,Cond1,4,1.4784510912484343,0.07877281155015191,1.1686869533941238,3
SUB709,7,Cond2,4,1.4784510912484343,-0.10008118018018032,1.0059097537537536,3
SUB712,1,Cond1,4,1.5493522340012191,0.4389993793565681,1.9582200495978543,4
